Title,Image,Description,Category,Ingredients,Instructions,Time to cook,Servings,Energy,Protein,Carbohydrates,Fat
Kolatryffelpaj med flingsalt,https://images.arla.com/recordid/F318FA85-290E-4830-A9D2737D0626A9D0/kolatryffelpaj-med-flingsalt.jpg?width=375&height=265&mode=crop&format=jpg,"Kolatryffelpaj är alla chokladälskares drömpaj! Mjuk och seg på insidan, spröd på utsidan och flingsaltet ger kolatryffelpajen ett extra smaklyft. Magiskt gott!",Efterrätt,Svenskt Smör från Arla®: 125 g | Vetemjöl: 2½ dl | Florsocker: ½ dl | Kakao: ½ dl | Salt: 1 krm | Äggulor: 2 | Vaniljstång: 1 | Arla Köket® Vispgrädde: 2 dl | Ljus sirap: 1½ dl | Mjölkchoklad: 300 g | Mörk choklad: 100 g | Flingsalt: ½ tsk,"Hacka samman smör, mjöl, florsocker, kakao och salt i en matberedare. Tillsätt äggulorna och arbeta till en deg., Tryck ut den i en pajform med löstagbar kant, 24-25 cm i diameter. Låt stå i kyl ca 30 min. Sätt ugnen på 200° eller 180° varmluft. Grädda pajskalet i mitten av ugnen ca 10 min. Låt kallna., Dela vaniljstången på längden och skrapa ur fröna. Koka upp grädde med vaniljstång, frön och sirap. Ta upp vaniljstången., Bryt chokladen i bitar och rör ner i grädden till en jämn, slät smet, häll den i pajskalet. Låt stå i kyl minst 5 tim. Strö över flingsalt vid servering.",,4,335 kcal,4 g,33 g,21 g
Nudelsallad,"https://images.arla.com/recordid/F08A0459-8213-49B4-9CF00C6A92920CA0/nudelsallad.jpg?width=375&height=265&mode=crop&crop=(190,0,-191,0)&format=jpg","En lättlagad nudelsallad med krispiga grönsaker, sesamfrön och jordnötter. Dressingen är gjord på chilisås, sesamolja, fisksås och mycket färsk limesaft. Nudelsalladen är ett perfekt tillbehör till kyckling, biff  eller räkor. Den är även utmärkt att servera på buffébordet.","Buffé, Huvudrätt, Lunch, Middag",Äggnudlar: 200 g | Salladslökar: 3 | Gurka: 1 | Morot: 1 | Röd paprika: 1 | Färsk röd chili: 1 | Färsk koriander: 1 kruka | Salta jordnötter: 1 dl | Rostade sesamfrön: 1 dl | Sweet chilisås: 3 msk | Fisksås: 3 msk | Sesamolja: 3 msk | Färskpressad limesaft: 3 msk,"Börja med att röra ihop dressingen i en rymlig salladsskål., Koka nudlarna enligt anvisning på förpackningen. Skölj dem hastigt i kallt vatten och låt rinna av., Strimla salladslöken. Skär gurka, morot och paprika i tunna stavar. Finhacka chilin. Grovhacka koriander och jordnötter. Blanda ner allt i salladsskålen med dressingen., Vänd ner i nudlarna. Låt dra åt sig smaker en stund., Smaka av nudelsalladen med salt.",30 min,4,471 kcal,14 g,50 g,23 g
Rotfruktsgratäng,https://images.arla.com/recordid/F149FE17-530E-4904-9E4A5FACB33DCCC0/rotfruktsgratang.jpeg?width=375&height=265&mode=crop&format=jpeg,"Rotfruktsgratäng som sköter sig själv i ugnen, det är vällagad vardagsmat när den är som bäst!","Huvudrätt, Lunch, Middag",Mjölig potatis: 750 g | Palsternacka: 1 | Stor morot: 1 | Purjolök: 1 | Arla Köket® Riven ost mager: 2 dl | Torkad timjan: 1 tsk | Arla Ko® Standardmjölk: 2 dl | Arla Ko® Vispgrädde: 2 dl | Salt: 1 tsk | Peppar: ½ tsk,"Sätt ugnen på 225° eller 200° varmluft., Skala och skiva potatis, palsternacka och morot. Strimla purjolöken., Blanda alla grönsaker, ost och timjan i en ugnssäker form. Blanda mjölk, grädde, salt och peppar och häll över grönsakerna, Tillaga i nedre delen av ugnen ca 45 min.",1 tim,4,,,,
No bake cheesecake i glas,https://images.arla.com/recordid/1F67D4CD-1106-4665-BDEBF540850E3B75/no-bake-cheesecake-i-glas.jpg?width=375&height=265&mode=crop&format=jpg,Välj dina faovoritbär som får gömma sig under fluffig cheescake-smet i den här snabba desserten. Du kan också testa att byta ut havreflarnen till biscotti eller cookies med choklad om andan faller på!,"Dessert, Efterrätt",Arla® Färskost Naturell: 150 g | Strösocker: ¾ dl | Vaniljsocker: 1 krm | Arla Ko® Syrad grädde: 1 dl | Blåbär: 1½ dl | Hallon: 1½ dl | Havreflarn: 2 | Ev färsk mynta: ,"Vispa färskost, socker och vaniljsocker fluffigt. Vispa den syrade grädden och vänd försiktigt ner i färskostblandningen., Fördela bären i portionsglas och toppa med färskostkrämen., Smula över havreflarn och garnera med några myntablad.",15 min,4,280 kcal,3 g,25 g,18 g
Okonomiyaki - japansk vitkålspannkaka,"https://images.arla.com/recordid/65F07868-5A95-4AE0-BFF8BC580ED30A20/okonomiyaki---japansk-vitkalspannkaka.jpg?width=375&height=265&mode=crop&crop=(0,115,0,-240)&format=jpg",Den klassiska japanska pannkakan serveras med smakrik okonomiyakisås och smetana. Toppa med salladslök och bonito flakes eller alger och koriander. Vill du ha den vegetarisk är det bara att utesluta baconet.,"Brunch, Huvudrätt","Japansk soja: ½ dl | Worcestershiresås: ½ dl | Vatten: ½ dl | Strösocker: 2 msk | Vitvinsvinäger: 2 msk | Finriven färsk ingefära: 2 tsk | Majsstärkelse: 1 tsk | Ägg: 4 | Vetemjöl: 4 dl | Vatten: 2½ dl | Salt: 1 tsk | Bacon: 140 g | Vitkål: 500 g | Salladslökar: 3 | Gari, inlagd ingefära: 2 msk | Arla Köket® Smör- & rapsolja, till stekning: 2 msk | Arla Köket® Smetana: 1 dl | Noriark, torkade alger eller bonito flakes: 1","Lägg alla ingredienser utom majsstärkelsen i en kastrull. Koka upp under omrörning., Vispa ut majsstärkelsen i lite kallt vatten. Häll ner i såsen och sjud tills den tjocknar., Ta från värmen och låt svalna.",45 min,4,606 kcal,23 g,65 g,28 g
Rädisor och chips med soja- och ingefärsdipp,"https://images.arla.com/recordid/1026C829-5AB7-4C41-8822229961B68D24/radisor-och-chips-med-soja--och-ingefarsdipp.jpg?width=375&height=265&mode=crop&crop=(0,0,-278,0)&format=jpg","Här kan grönsakerna bytas ut mot sockerärtor, blomkål, salladsblad och andra goda krispiga grönsaker. Har man inte gräddfil i kylen kan man ta crème fraiche, yoghurt eller kesella.","Buffé, Förrätt","Arla Ko® Gräddfil: 2 dl | Majonnäs: 3 msk | Finriven färsk ingefära: 1½ msk | Japansk soja: 2 msk | Hackad färsk koriander: 2 msk | Rädisor:  | Potatischips, saltade:  | Furikake eller rostade sesamfrön: 1 dl","Blanda gräddfil, majonnäs, ingefära, soja och finhackad koriander till en slät dippsås., Servera med rädisor, chips och furikake som ett snack eller förrätt.",10 min,4,163 kcal,2 g,5 g,15 g
Fransk biffpanna,https://images.arla.com/recordid/BC9A965C-AB33-4EBA-A83D47AA850F94AA/fransk-biffpanna.jpg?width=375&height=265&mode=crop&format=jpg,Franskinspirerad biffpanna som gärna får återkomma på middagsborden!,"Huvudrätt, Lunch, Middag",Utskuren biff: 500 g | Rimmat sidfläsk: 100 g | Schalottenlökar: 4 | Morötter: 2 | Svenskt Smör från Arla®:  | Salt: 1 tsk | Svartpeppar: 1 krm | Torkad timjan: 1 tsk | Arla Köket® Crème fraiche: 2 dl | Kalvfond: 1 msk | Kinesisk soja: 1 tsk | Vatten: 1½ dl,"Skär köttet och fläsket i strimlor., Skala och skär löken i klyftor. Skala och skiva morötterna., Fräs lök och morötter i smör i en stekpanna., Ta upp det och bryn kött och fläsk i pannan. Krydda med salt, peppar och timjan., Vispa ihop crème fraiche, kalvfond, soja och vatten i en traktörpanna., Lägg i kött, fläsk, lök och morötter. Låt allt koka 10-15 min.",45 min,4,,,,
Varma mackor i ugn,"https://images.arla.com/recordid/E9F6A5DD-E4F9-4F21-95D07267E58D0FE6/varma-mackor-i-ugn.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg","Varma mackor är underbart gott att servera till soppa eller bara som ett enklare kvällsmål. Det är det perfekta sättet att ta tillvara på mat som blivit över. Det allra mesta blir gott av att hamna på ett gott bröd, toppat med ost för att sedan gratineras!","Brunch, Förrätt, Frukost, Huvudrätt, Lunch, Middag","Formbröd: 4 skivor | Pesto: 4 msk | Soltorkade tomater i olja, strimlade: 8 | Cocktailtomater, skivade: 8 | Arla® Familjefavoriter Mozzarella: 150 g | Färsk basilika:  | Formbröd: 4 skivor | Bregott® Ekologiskt: 4 msk | Dijonsenap: 2 msk | Rökt skinka: 8 skivor | Tomater, skivade: 2 | Kvibille® Riven ost cheddar: 150 g | Finskuren färsk gräslök: 4 msk | Formbröd: 4 skivor | Kvibille® Ädel Creme: 170 g | Tärnat bacon: 1 pkt | Champinjoner, skivade: 8 | Färsk persilja, hackad:  | Formbröd: 4 skivor | Blandfärs: 400 g | Arla Köket® Smör- & rapsolja: 2 msk | Taco kryddmix: 1 dl | Rödlök, skivad: 1 | Arla® Familjefavoriter Mozzarella: 150 g | Arla Ko® Gräddfil: 1 dl","Sätt ugnen på 225° eller 200° varmluft., Bred pesto på brödet. Toppa med soltorkade tomater, cocktailtomater och mozzarella., Gratinera mitt i ugnen ca 10 min. Toppa varma mackorna med några basilikablad.",,4,,,,
Burrito med bönor och kokosris,"https://images.arla.com/recordid/8B3D0517-95F2-42DC-AB3DBA7EEB865CE4/burrito-med-bonor-och-kokosris.jpg?width=375&height=265&mode=crop&crop=(278,0,0,0)&format=jpg","Kanske världens godaste burrito med lätt rökig bönröra, kokosris och syrlig pico de gallo - signerad kocken Jakob Ker Lamb från Ett Hem i Stockholm.","Huvudrätt, Lunch, Middag","Gul lök: 1 | Färsk grön chili: 1 | Vitlöksklyftor: 3 | Tomatpuré: 2 msk | Chipotlepasta eller torkat chipotlepulver: 1 msk | Kokta svarta bönor, avrunna och sköljda: 2 burkar | Vatten: 1½ dl | Salt: 1 tsk | Apetina® Vitost 20%: 1 förp | Stora tortillabröd: 4 | Basmatiris: 3 dl | Kokosmjölk: 2½ dl | Vatten: 1 dl | Salt: 2 krm | Lime: 1 | Tomater: 3 | Gul lök: 1 | Vitlöksklyfta: 1 | Grön chilipeppar eller jalapeno: 1 | Lime, pressad saft: 2 | Salt: ½ tsk | Färsk koriander: 1 kruka","Hacka löken och finhacka chilin. Stek löken på medelvärme tills den blivit mjuk och fått färg., Pressa ner vitlök och tillsätt tomatpurè, chili och chipotle. Fräs under omrörning ca 3-4 min., Tillsätt bönor, vatten och salt. Koka upp och mosa sedan bönorna grovt med en potatisstöt eller gaffel.",45 min,4,843 kcal,31 g,110 g,28 g
Club sandwich med grillad kyckling och sallad,https://images.arla.com/recordid/9F8B6EC0-4812-4321-B535847695AE37F3/club-sandwich-med-grillad-kyckling-och-sallad.jpg?width=375&height=265&mode=crop&format=jpg,En variant på klassisk Club sandwich med grillad kyckling och lufttorkad skinka istället för bacon.,"Brunch, Huvudrätt, Lunch, Middag","Kycklingbröstfilé: 500 g | Salt: 1 tsk | Svartpeppar: 1 krm | Arla Köket® Smör- & rapsolja: 1 msk | Körsbärstomater: 200 g | Romansallad: 1 huvud | Rucola: 30 g | Rökt skinka, skivad: 100 g | Surdegsbröd, skivat: 1 | Arla Köket® Smör- & rapsolja: 2 msk | Dijonsenap: 1 tsk | Arla Ko® Gräddfil: 2 dl | Pressad vitlöksklyfta: 1 | Hackad färsk gräslök: ½ dl | Salt: 1 krm | Svartpeppar: 1 krm","Blanda ingredienserna till såsen. Låt stå i kyl ca 30 min., Pensla kycklingen med smör- &rapsolja. Salta och peppra., Rör ihop senapssmöret., Dela tomaterna i halvor och salladen i bitar., Grilla skinkskivorna bara på en sida ca 1 min. Låt svalna på hushållspapper., Grilla kycklingen 5-7 min på varje sida., Grilla 8 skivor bröd ca 1 min på varje sida., Skär kycklingen i skivor och skinkan i strimlor., Lägg 4 bröd, sallad och tomater på portionstallrikar. Lägg på kycklingen och klicka på senapssmöret. Strö över skinkan., Dela bröden som är kvar. Lägg på dem och klicka över såsen.",45 min,4,500 kcal,39 g,37 g,21 g
Fiskgratäng med tacosmak,"https://images.arla.com/recordid/35FF6016-2A4F-4020-98522355DFCEB144/fiskgratang-med-taco-smak.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg","Fiskgratäng som smakar taco med ett täcke av tortillachips – enkelt och supergott! Det funkar lika bra att använda sej, kolja eller torsk - ta din favorit. Vardagsmat när den är som allra bäst!","Huvudrätt, Lunch, Middag","Torskfilé, kolja eller sej: 600 g | Salt: 1 tsk | Arla Köket® Vispgrädde: 2½ dl | Tacosås medium eller hot: 1 dl | Arla Köket® Texmex riven ost jalapeno & chili: 2 dl | Tortillachips: 50 g | Potatis: 900 g | Färsk koriander: 1 kruka | Lime: 1","Sätt ugnen på 225° eller 200° varmluft., Tina fisen om den är fryst. Salta och vik ihop fiskfiléerna om de är tunna. Lägg dem i en smord ugnssäker form., Blanda grädde, tacosås och ost. Häll såsen över fisken. Krossa chipsen och strö över., Tillaga i mitten av ugnen ca 25 min, eller tills fisken har en innertemperatur på 52°., Koka potatisen mjuk i lättsaltat vatten., Toppa fiskgratängen med färsk koriander och skivad lime. Servera direkt med potatis.",40 min,4,734 kcal,"38,2 g","57,6 g",39 g
Chokladpaj med hallon,https://images.arla.com/recordid/9721F643-D160-49FD-9AF433F849A5FA06/chokladpaj-med-hallon.jpg?width=375&height=265&mode=crop&format=jpg,Denna chokladpaj är läckert sötsyrlig. Det förgräddade pajskalet fylls med en kräm på mörk choklad och yoghurt. Den toppas med färska hallon och florsocker.,Efterrätt,Digestivekex: 12 | Svenskt Smör från Arla®: 75 g | Mörk choklad: 150 g | Arla Köket® Grekisk yoghurt 10%: 2½ dl | Hallon: 200 g | Florsocker: ,"Mixa kexen till smulor. Smält smöret. Blanda ihop till en smulig deg., Tryck ut smulorna i en form med löstagbar kant. Ställ formen i kyl minst 30 min., Hacka chokladen och lägg i en bunke. Smält chokladen i mikro eller över vattenbad., Tillsätt yoghurten, rör till en slät kräm., Klicka ner krämen i formen. Toppa med hallon och pudra ev över florsocker.",50 min,4,335 kcal,5 g,28 g,22 g
Ostpasta,https://images.arla.com/recordid/148A79AF-627A-4FC0-BAE65396984489A5/ostpasta.jpg?width=375&height=265&mode=crop&format=jpg,Lite trött efter jobbet? Den här pastarätten med ost går snabbt att tillaga!,"Huvudrätt, Kvällsmat, Lunch, Middag","Pasta: ca 300 g | Arla Köket® Matlagningsgrädde: 2½ dl | Arla Ko® Standardmjölk: 2 dl | Vetemjöl: 1½ msk | Arla Köket® Riven ost pizza: 2 dl | Frysta gröna ärter: 2 dl | Salt: ½ tsk | Bladpersilja, hackad: ½ dl | Svartpeppar: ","Koka pastan enligt anvisning på förpackningen., Vispa ihop grädde, mjölk och mjöl i en kastrull. Låt koka 3 min under omrörning., Rör ner ost och ärtor. Smaka av med salt., Blanda såsen med nykokt pasta. Toppa med persilja och nymalen svartpeppar. Servera direkt.",15 min,4,,,,
Palak paneer,"https://images.arla.com/recordid/B18DCF51-FBDA-4426-83991E0D67AA90C9/palak-paneer.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg",Palak paneer betyder spenat med paneer och är en riktig klassiker. Gillar du indisk mat har du säkert prövat den. Nu kan du enkelt svänga ihop restaurang-favoriten hemma!,"Huvudrätt, Varmrätt","Apetina® Paneer à 225 g: 1 förp | Gul lök: 1 | Körsbärstomater: 250 g | Vitlöksklyftor: 2 | Färsk ingefära, ca 20 g: 1 bit | Rapsolja: 3 msk | Tomatpuré: 1 msk | Salt: 1½ tsk | Malen gurkmeja: ½ tsk | Chilipulver: 2 tsk | Garam masala: 2 tsk | Ekologisk vispgrädde: 3 dl | Fryst bladspenat, tinad: 400 g | Färsk ingefära: 25 g | Färsk koriander: 1 kruka | Ris: 4 port","Börja med att koka riset., Skär osten i bitar. Skala och hacka löken. Skär tomaterna i små tärningar. Skala och riv vitlök och ingefära., Fräs lök, vitlök och ingefära i oljan i en gryta. Tillsätt tomater, tomatpuré, salt och kryddor. Rör om och låt allt bli varmt., Krama ut vätskan ur den tinade senaten. Rör ner vispgrädde och spenat i grytan. Låt koka ca 5 min. Späd ev med lite vatten. Smaka av med salt., Lägg ner osten och låt allt bli varmt., Skala och skär ingefäran i tunna stavar. Grovhacka koriander. Strö detta över palak paneer och servera med ris.",30 min,4,754 kcal,24 g,60 g,46 g
Snabb citronyoghurtglass,"https://images.arla.com/recordid/574E8A08-D5F4-465D-9FD35098CC3CB755/snabb-citronyoghurtglass.jpg?width=375&height=265&mode=crop&crop=(19,0,-259,0)&format=jpg",Snabbaste tänkbara glassen! Bara att frysa in citronyoghurten för att sedan toppa den med bär efter smak. Strålande att bjuda på som dessert eller som friskt och fräscht mellanmål.,"Dessert, Efterrätt, Mellanmål","Arla® Superkrämig grekisk yoghurt citron: 4 dl | Blandade färska bär: 125 g | Citron, finrivet skal: 1","Frys in yoghurten i sin förpackning eller i portionsskålar ca 2 tim., Toppa med färska bär och citron.",2 tim,4,73 kcal,10 g,6 g,0 g
Grillad pizzamacka med färsk oregano,https://images.arla.com/recordid/6F05074F-6284-4BF0-9651D9A441BEBC2F/grillad-pizzamacka-med-farsk-oregano.jpg?width=375&height=265&mode=crop&format=jpg,Saftig och god toast med inspiration från Italien. Pizzatoast är perfekt till fredagsmyset eller vickningen.,"Huvudrätt, Kvällsmat, Lunch, Snabbmat",Ljust lantbröd: 8 skivor | Färdig smaksatt tomatsås: 1 dl | Rökt skinka: 4 skivor | Färsk oregano: ½ dl | Billinge® 17%: 8 skivor | Rucola: ,"Bred ut tomatsåsen på brödskivorna., Lägg skinka, oregano och ost mellan bröden., Grilla dem i smörgåsgrill eller våffeljärn tills de blir gyllenbruna och osten har smält., Servera med färsk rucola.",15 min,4,355 kcal,17 g,40 g,13 g
Korvsoppa,https://images.arla.com/recordid/C9D13420-9231-47BE-8B10492169350DB2/korvsoppa.jpg?width=375&height=265&mode=crop&format=jpg,"Korvsoppa med rotfrukter serverad med senapskräm. En strålande vardagsrätt att ta till när tiden är knapp. Det går bra att använda de rotfrukter du har hemma. Och senapskrämen går bra att göra på både gräddfil, färskost, yoghurt eller smetana. Ta det du har hemma!","Huvudrätt, Lunch","Potatis: 300 g | Morot: 250 g | Palsternacka: 1 | Vatten: 1 liter | Grönsaksbuljong: 2 tärningar | Kryddpepparkorn: 10 | Lagerblad: 2 | Korv, t ex falukorv: 300 g | Salladslökar: 3 | Salt och svartpeppar:  | Färsk persilja: krukor | Arla Köket® Crème fraiche: 2 dl | Dijonsenap: 1 msk","Börja med att röra ihop senapskrämen. Ställ kallt till servering., Skala och skär potatis, morot och palsternacka i bitar., Koka upp vatten, buljong, kryddpeppar och lagerblad. Lägg ner rotfrukterna och låt koka tills potatisen är mjuk, 8-10 min., Skär korven i bitar. Strimla salladslöken. Hacka persiljan., Lägg ner korv och salladslök i soppan. Låt allt bli varmt., Toppa korvsoppan med persilja och servera med senapskräm",,4,465 kcal,12 g,25 g,34 g
Enkel frukost,https://images.arla.com/recordid/5034CA19-A44B-4250-9880EE6E7DA929D6/enkel-frukost.jpg?width=375&height=265&mode=crop&format=jpg,"En riktig enkel frukost som du nästan kan plocka fram i sömnen. Fyll en skål med yoghurt och granola, gör dig en enkel macka och häll upp ett glas iskall mjölk. Svårare än så behöver en god start på dagen inte vara!",Frukost,Yoggi® Original yoghurt vanilj med topping: 1 förp | Surdegsbröd: 1 skiva | Arla® Färskost Tomat & Örter: 20 g | Cocktailtomater: 4 | Smörgåskrasse:  | Arla Ko® Mellanmjölk: 2 dl,"Häll upp yoghurt och granola i en skål., Bred färskost på brödet och toppa med skivad tomat och krasse., Njut av din enkla frukost med ett glas iskall mjölk.",10 min,4,,,,
Kycklinggratäng med cashewnötter,"https://images.arla.com/recordid/B1B3E223-30A0-4383-A44CEB6249536A23/kycklinggratang-med-cashewnotter.jpg?width=375&height=265&mode=crop&crop=(10,0,-138,0)&format=jpg",Recept på en underbar kycklinggratäng. En snabb och god kycklingrätt med cashewnötter i god och krämig ostsås.,"Huvudrätt, Kvällsmat, Lunch, Middag",Grillad kyckling: 1 | Kelda® Pastasås mild ost: 4 dl | Arla Köket® Riven ost gratäng: 1 dl | Rostade cashewnötter: 1 dl,"Sätt ugnen på 225° eller 200° varmluft., Ta bort skinn och ben från kycklingen. Skär den i bitar och lägg i en ugnssäker form. Häll över såsen och strö över osten., Gratinera i mitten av ugnen ca 15 min. Hacka nötterna grovt och strö över gratängen.",,4,335 kcal,32 g,13 g,20 g
Senaps- och honungsbakad lax,"https://images.arla.com/recordid/D39C2F22-AF31-4888-83BB168E9ED85CD8/senaps--och-honungsbakad-lax.jpg?width=375&height=265&mode=crop&crop=(148,0,0,0)&format=jpg",Lättlagad lax med smakrikt täcke på färskost och flagad mandel. Servera gärna den ugnsbakade laxen med kokta grönsaker och kokt potatis.,"Huvudrätt, Lunch, Middag","Laxfilé, á ca 150 g: 6 bitar | Salt: ½ tsk | Arla® Färskost Naturell: 150 g | Dijonsenap: 1 msk | Flytande honung: 1 msk | Mandelspån: ½ dl | Ev hackad färsk gräslök: ","Sätt ugnen på 225° eller 200° varmluft., Salta laxen. Rör ihop färskost, senap och flytande honung och bred på laxen. Strö över mandel., Baka i mitten av ugnen tills laxens innertemperatur är 45– 50°, ca 10 min., Garnera ev med gräslök vid servering.",20 min,4,535 kcal,34 g,35 g,28 g
Blomkål i airfryer,"https://images.arla.com/recordid/E86A2104-715D-4ACF-BB0373DD49B2A137/blomkal-i-airfryer.jpg?width=375&height=265&mode=crop&crop=(0,0,-381,0)&format=jpg",Att rosta blomkål i airfryer är riktigt smidigt. Blomkålen blir både saftig och smakrik med den hårt rostade ytan. Servera den med en het harissayoghurt och rostade sesamfrön. Garenera med dillvippor. Detta är en riktigt läcker förrätt!,"Buffé, Förrätt","Litet blomkålshuvud: 1 | Vitlöksklyfta: 1 | Arla Köket® Smör- & rapsolja: 1 msk | Flingsalt: 1 tsk | Arla Köket® Turkisk yoghurt 200 g: 2 dl | Lime, finrivet skal och saft: 1 | Harissa: 1 msk | Flytande honung: 1 tsk | Salt: ½ tsk | Rostade sesamfrön: 4 msk | Dillvippor: ","Ta bort bladen från blomkålen, spara gärna de små och lägg i kallt vatten så de blir krispiga., Skala och finhacka vitlöken. Blanda med smör-&rapsolja., Skär blomkålen i 4 bitar. Pensla blomkålen med vitlöksoljan. Lägg blomkålen i airfryern och strö över salt., Tillaga på 200° tills blomkålen fått fin färg, ca 15 min. Vänd på den några gånger under tiden., Rör ihop yoghurt med limeskal, limesaft, harissa och honung. Smaka av med salt., Bred ut harissayoghurten på en stor tallrik eller på fyra mindre. Lägg på den rostade blomkålen och toppa med blomkålsblad, sesamfrön och dill.",30 min,4,118 kcal,3 g,5 g,9 g
Äppel- och björnbärspaj,"https://images.arla.com/recordid/B6B27CFA-33B8-4637-883E0D5CDF1079B2/appel--och-bjornbarspaj.jpg?width=375&height=265&mode=crop&crop=(0,0,-278,0)&format=jpg","En imponerande paj fylld med lyxig vaniljkräm, smörstekta äpplen  och saftiga björnbär. Vaniljkrämen och pajskalet kan med fördel förberedas dagen innan.","Dessert, Efterrätt","Svenskt Smör från Arla®: 175 g | Vetemjöl: 4 dl | Strösocker: 2 msk | Äggula: 1 | Vaniljstång eller 2 tsk vaniljsocker: ½ | Arla Ko® Standardmjölk: 3 dl | Strösocker: ½ dl | Äggulor: 3 | Majsstärkelse: ½ dl | Svenskt Smör från Arla®, skuret i bitar: 25 g | Röda äpplen: 6 | Svenskt Smör från Arla®: 2 msk | Strösocker: 1 dl | Apelsin, finrivet skal: 1 | Citron, finrivet skal: 1 | Stötta kardemummakärnor: ½ tsk | Björnbär: 250 g | Majsstärkelse: 2 tsk | Äggvita: 1 | Rårörsocker: 2 msk","Mixa smör, mjöl och socker i en matberedare till en gryning massa. Tillsätt äggula och mixa till en smidig deg., Rulla ¼ av degen till en liten boll. Forma resterande deg till en tillplattad boll., Plasta in båda degarna och låt ligga i kyl ca 15 min., Kavla ut den större degbiten tunt mellan 2 lätt mjölade bakplåtspapper., Ta bort bakplåtspappren och klä en smord pajform, med löstagbar botten, med degen ända upp till kanten., Nagga botten. Låt stå i kyl ytterligare ca 30 min.",2 tim,4,552 kcal,7 g,65 g,28 g
Majspanerad torsk med coleslaw,https://images.arla.com/recordid/39CB0642-F87C-4BE5-A01E66125D77C686/majspanerad-torsk-med-coleslaw.jpg?width=375&height=265&mode=crop&format=jpg,Att panera i polenta istället för ströbröd ger en knaprig yta med lite sötma och dessutom är det ett smart glutenfritt alternativ. Med friskt äpple i coleslawn och jalapenohetta i salladen är den här rätten en riktig smakfest!,"Huvudrätt, Lunch, Middag","Torskfilé: 500 g | Polenta: ½ dl | Salt: 1 tsk | Svartpeppar: 1 krm | Svenskt Smör från Arla®: 2 msk | Äpple: 1 | Rödkål: 200 g | Arla Ko® Gräddfil: 1 dl | Majonnäs: 2 msk | Torkade röda linser: 1 dl | Babyspenat: 80 g | Färska gröna jalapeño: 2 | Färsk ingefära, ca 2 cm: 1 bit | Olivolja: 3 msk | Flytande honung: 1 tsk | Lime: pressad saft av ½ | Morot: 1 | Alfalfagroddar: 40 g","Blanda polenta med salt och peppar på en tallrik., Skär fisken i 4 bitar och vänd dem i polentablandningen.",45 min,4,410 kcal,26 g,17 g,26 g
Höstsoppa med chiligrädde,"https://images.arla.com/recordid/3EA03C05-C115-49BD-99EDC5E9BDA2B643/hostsoppa-med-chiligradde.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg",Söta majskorn och mustiga bönor med små sting av sambal trivs förträffligt i varandras sällskap.,"Huvudrätt, Lunch, Middag",Vitlöksklyftor: 2 | Purjolökar: 2 | Svenskt Smör från Arla®:  | Vita bönor: 400 g | Vatten: 8 dl | Kelda® Mellangrädde: 1½ dl | Grönsaksbuljong: 2 tärningar | Majskorn: 340 g | Vitvinsvinäger: 2 tsk | Salt:  | Svartpeppar:  | Sambal oelek: ½ tsk | Hackade färska blandade örter: ½ dl,"Skala och hacka vitlöken. Strimla purjolöken. Fräs allt mjukt i smör i en kastrull utan att det tar färg., Skölj bönorna och låt dem rinna av. Häll lök, bönor och lite av vattnet i en matberedare. Mixa till en puré och häll tillbaka i kastrullen., Häll på resten av vattnet och hälften av grädden. Lägg i buljongtärningar och majs. Låt soppan koka några minuter. Smaksätt med vinäger, salt och peppar., Vispa resten av grädden. Smaksätt den med sambal oelek., Servera soppan med en klick chiligrädde och lite färska kryddor.",20 min,4,,,,
Saffransvåfflor med apelsin,https://images.arla.com/recordid/59A4CC1D-C527-4974-B2D2D827357C1AA3/vafflor-med-saffran-och-apelsin.jpg?width=375&height=265&mode=crop&format=jpg,Grädda gyllengula saffransvåfflor och servera med färgglada bär eller fruktsallad. En klick grädde på toppen är underbart gott!,"Efterrätt, Mellanmål","Svenskt Smör från Arla®: 100 g | Vetemjöl: 3½ dl | Bakpulver: 2 tsk | Saffran à 0,5 g: 1 pkt | Strösocker: 2 msk | Apelsin: rivet skal och saft av 1 | Arla Ko® Standardmjölk: 4½ dl | Arla Köket® Vispgrädde: 2 dl | Bär t ex hallon eller jordgubbar: 250 g","Smält smöret och låt det svalna., Blanda mjöl, bakpulver, saffran, socker och apelsinskal. Vispa i mjölk och smör till en slät smet., Hetta upp ett våffeljärn. Pensla laggen första gången med lite smör., Häll i smet och grädda våfflorna gyllenbruna., Vispa grädden., Servera våfflorna direkt med grädde och bär.",20 min,4,320 kcal,5 g,25 g,22 g
